,0,1
8,3,6
9,3,7
19,3,16
20,3,9
24,3,10
25,3,12
26,3,11
28,3,13
31,3,17
32,3,8
33,3,18
46,3,14
56,20,31
57,20,35
58,20,36
59,20,28
60,20,26
61,20,23
62,20,27
63,20,25
64,20,30
65,20,29
66,20,24
67,20,32
68,20,34
69,20,33
73,20,37
96,20,38
125,41,90
316,41,78
637,41,96
658,41,77
687,41,47
695,41,71
709,41,56
1335,41,83
1442,41,89
1695,41,64
1722,41,69
1748,41,72
1764,41,51
1778,41,67
1858,41,45
2077,41,68
2112,41,46
48155329,2,1
48155330,4,3
48156324,5,3
48158275,6,3
48159154,7,3
48159192,8,3
48159607,9,3
48160511,10,3
48160552,11,3
48161203,12,3
48161254,13,3
48162633,14,3
48164937,15,3
48164997,16,3
48165970,17,3
48167390,18,3
48167428,19,3
48167429,21,20
48167430,22,20
48167431,23,20
48167432,24,20
48167433,25,20
48167434,26,20
48167435,27,20
48167436,28,20
48167437,29,20
48167438,30,20
48167439,31,20
48167442,32,20
48167443,33,20
48167445,34,20
48167446,35,20
48167487,36,20
48167609,37,20
48175031,38,20
48180348,39,20
48180361,40,20
48180362,42,41
48180396,43,41
48180423,44,41
48180433,45,41
48180453,46,41
48180475,47,41
48180486,48,41
48180498,49,41
48180515,50,41
48180533,51,41
48180546,52,41
48180548,53,41
48180569,54,41
48180575,55,41
48180578,56,41
48180595,57,41
48181291,58,41
48181292,59,41
48181380,60,41
48181425,61,41
48181555,62,41
48181574,63,41
48181578,64,41
48181585,65,41
48181637,66,41
48181654,67,41
48181661,68,41
48181794,69,41
48181804,70,41
48181817,71,41
48181823,72,41
48181843,73,41
48181863,74,41
48181901,75,41
48181916,76,41
48181920,77,41
48181943,78,41
48181944,79,41
48181947,80,41
48181966,81,41
48181968,82,41
48181985,83,41
48181992,84,41
48182016,85,41
48182024,86,41
48182026,87,41
48182079,88,41
48182081,89,41
48182104,90,41
48182137,91,41
48182183,92,41
48182223,93,41
48182227,94,41
48182233,95,41
48182295,96,41
48182300,97,41
48182355,98,41
48182358,99,41
48182361,100,41
